AGAF|Afutara Airport|Afutara
AGAR|Ulawa Airport|Arona, Ulawa Island
AGAT|Uru Harbour Airport|Atoifi, Malaita
AGBA|Barakoma Airport|Barakoma
AGBT|Batuna Airport|Batuna
AGEV|Geva Airport|Geva
AGGA|Auki Gwaunaru'u Airport|Auki
AGGB|Bellona/Anua Airport|Bellona/Anua
AGGC|Choiseul Bay Airport|Choiseul Bay, Taro Island
AGGD|Mbambanakira Airport|Mbambanakira
AGGE|Balalae Airport|Shortland Island
AGGF|Fera/Maringe Airport|Fera Island, Santa Isabel Island
AGGG|Honiara FIR|Honiara, Guadalcanal
AGGH|Honiara International Airport (formerly Henderson Field)|Honiara, Guadalcanal
AGGI|Babanakira Airport|Babanakira
AGGJ|Avu Avu Airport|Avu Avu
AGGK|Kirakira Airport|Kirakira
AGGL|Santa Cruz/Graciosa Bay/Luova Airport|Santa Cruz/Graciosa Bay/Luova, Santa Cruz Island
AGGM|Munda Airport|Munda, New Georgia Island
AGGN|Nusatupe Airport|Gizo Island
AGGO|Mono Airport|Mono Island
AGGP|Marau Sound Airport|Marau Sound
AGGQ|Ontong Java Airport|Ontong Java
AGGR|Rennell/Tingoa Airport|Rennell/Tingoa, Rennell Island
AGGS|Seghe Airport|Seghe
AGGT|Santa Ana Airport|Santa Ana
AGGU|Marau Airport|Marau
AGGV|Suavanao Airport|Suavanao
AGGY|Yandina Airport|Yandina
AGIN|Isuna Heliport|Isuna
AGKG|Kaghau Airport|Kaghau Island
AGKU|Kukudu Airport|Kukudu
AGOK|Gatokae Aerodrome|Gatokae
AGRC|Ringgi Cove Airport^[1]|Ringgi Cove
AGRM|Ramata Airport|Ramata Island
ANAU|Nauru Flight Information Region|
ANYN|Nauru International Airport|Yaren
AYAA|Ama Airport|Ama
AYBK|Buka Airport|Buka
AYCH|Chimbu Airport|Kundiawa
AYDU|Daru Airport|Daru
AYGA|Goroka Airport|Goroka
AYGN|Gurney Airport|Alotau
AYGR|Girua Airport|Popondetta
AYHK|Hoskins Airport|Kimbe
AYIQ|Kieta Aropa Airport|Kieta
AYKA|Losuia Airport|Kiriwina
AYKI|Kiunga Airport|Kiunga
AYKK|Kikori Airport|Kikori
AYKM|Kerema Airport|Kerema
AYKT|Kaintiba Airport|Kaintiba
AYKV|Kavieng Airport|Kavieng
AYKY|Kunaye Airport|Kunaye
AYLA|Lae Airfield|Lae
AYMD|Madang Airport|Madang
AYMH|Mount Hagen Airport|Mount Hagen
AYMN|Mendi Airport|Mendi
AYMO|Momote Airport|Manus Island
AYMR|Moro Airport|Moro
AYMS|Misima Island Airport|Misima
AYNZ|Lae Nadzab Airport|Lae / Nadzab
AYPY|Port Moresby/Jackson International Airport|Port Moresby
AYRB|Rabaul Airport (old) (destroyed 1994)|Rabaul, New Britain
AYTA|Tari Airport|Tari
AYTB|Tabubil Airport|Tabubil
AYTK|Rabaul Airport (Tokua Airport)|Rabaul / Tokua
AYVN|Vanimo Airport|Vanimo
AYWD|Wapenamanda Airport|Wapenamanda
AYWK|Wewak International Airport|Wewak
BGAA|Aasiaat Airport|Aasiaat (Egedesminde, Ausiat)
BGAG|Aappilattoq Heliport (Qaasuitsup)|Aappilattoq, Qaasuitsup
BGAK|Akunnaaq Heliport|Akunnaaq
BGAM|Tasiilaq Heliport|Tasiilaq (Ammassalik, Angmagssalik)
BGAP|Alluitsup Paa Heliport|Alluitsup Paa
BGAQ|Aappilattoq Heliport (Kujalleq)|Aappilattoq, Kujalleq
BGAR|Arsuk Heliport|Arsuk
BGAS|Ammassivik Heliport|Ammassivik
BGAT|Attu Heliport|Attu
BGBW|Narsarsuaq Airport|Narsarsuaq (Narssarssuaq)
BGCH|Qasigiannguit Heliport (Christianshåb Heliport)|Qasigiannguit (Christianshåb)
BGCO|Nerlerit Inaat Airport (Constable Pynt Airport)|Jameson Land
BGET|Eqalugaarsuit Heliport|Eqalugaarsuit
BGFD|Narsaq Kujalleq Heliport|Narsaq Kujalleq
BGGD|Kangilinnguit Heliport (Grønnedal Heliport)|Kangilinnguit (Grønnedal)
BGGH|Nuuk Airport|Nuuk (Godthåb)
BGGN|Qeqertarsuaq Heliport (Godhavn Heliport)|Qeqertarsuaq (Godhavn)
BGIA|Ikerasak Heliport|Ikerasak
BGIG|Iginniarfik Heliport|Iginniarfik
BGIK|Ikerasaarsuk Heliport|Ikerasaarsuk
BGIL|Ilimanaq Heliport|Ilimanaq
BGIN|Innaarsuit Heliport|Innarsuit
BGIS|Isortoq Heliport|Isortoq
BGIT|Ikamiut Heliport|Ikamiut
BGJH|Qaqortoq Heliport (Julianehab Heliport)|Qaqortoq (Julianehab)
BGJN|Ilulissat Airport (Jakobshavn Airport)|Ilulissat (Jakobshavn)
BGKA|Kangaatsiaq Heliport|Kangaatsiaq
BGKK|Kulusuk Airport|Kulusuk
BGKL|Upernavik Kujalleq Heliport|Upernavik Kujalleq
BGKM|Kuummiit Heliport|Kuummiit
BGKQ|Kullorsuaq Heliport|Kullorsuaq
BGKS|Kangersuatsiaq Heliport|Kangersuatsiaq
BGKT|Kitsissuarsuit Heliport|Kitsissuarsuit
BGLL|Illorsuit Heliport|Illorsuit
BGMO|Moriussaq Heliport|Moriusaq
BGMQ|Maniitsoq Airport|Maniitsoq (Sukkertoppen)
BGNK|Niaqornaarsuk Heliport|Niaqornaarsuk
BGNL|Nalunaq Heliport|Nalunaq
BGNN|Nanortalik Heliport|Nanortalik
BGNQ|Nuugaatsiaq Heliport|Nuugaatsiaq
BGNS|Narsaq Heliport|Narsaq
BGNT|Niaqornat Heliport|Niaqornat
BGNU|Nuussuaq Heliport|Nuussuaq
BGPT|Paamiut Airport|Paamiut (Frederikshåb)
BGQE|Qeqertaq Heliport|Qeqertaq
BGQQ|Qaanaaq Airport|Qaanaaq
BGQT|Qassimiut Heliport|Qassimiut
BGSC|Ittoqqortoormiit Heliport (Scoresbysund Heliport)|Ittoqqortoormiit (Scoresbysund)
BGSF|Kangerlussuaq Airport (Søndre Strømfjord Airport)|Kangerlussuaq (Søndre Strømfjord)
BGSG|Sermiligaaq Heliport|Sermiligaaq
BGSI|Siorapaluk Heliport|Siorapaluk
BGSO|Saarloq Heliport|Saarloq
BGSQ|Saqqaq Heliport|Saqqaq
BGSS|Sisimiut Airport (Holsteinsborg Airport)|Sisimiut (Holsteinsborg)
BGST|Saattut Heliport|Saattut
BGSV|Savissivik Heliport|Savissivik
BGTA|Tasiusaq Heliport (Qaasuitsup)|Tasiusaq, Qaasuitsup
BGTL|Thule Air Base|Pituffik, Qaanaaq
BGTN|Tiniteqilaaq Heliport|Tiniteqilaaq
BGTQ|Tasiusaq Heliport (Kujalleq)|Tasiusaq, Kujalleq
BGUK|Upernavik Airport|Upernavik
BGUM|Uummannaq Heliport|Uummannaq
BGUQ|Qaarsut Airport|Qaarsut
BGUT|Ukkusissat Heliport|Ukkusissat
BIAR|Akureyri Airport|Akureyri
BIBK|Bakkafjordur Airport|Bakkafjörður
BIBL|Blönduós Airport|Blönduós
BIBR|Búðardalur Airport|Búðardalur
BIDV|Djupivogur Airport|Djupivogur
BIEG|Egilsstaðir Airport|Egilsstaðir
BIGR|Grímsey Airport|Grímsey
BIHN|Hornafjörður Airport|Höfn
BIHU|Húsavík Airport|Húsavík
BIIS|Ísafjörður Airport|Ísafjörður
BIKF|Keflavík International Airport (Flugstöð Leifs Eiríkssonar)|Keflavík
BIKP|Kopasker Airport|Kópasker
BIKR|Sauðárkrókur Airport|Sauðárkrókur
BINF|Nordfjordur Airport|Nordfjordur
BIPA|Patreksfjörður Airport|Patreksfjörður
BIRF|Rif Airport|Ólafsvík
BIRG|Raufarhöfn Airport|Raufarhöfn
BIRK|Reykjavík Airport|Reykjavík
BISI|Siglufjörður Airport|Siglufjörður
BIST|Stykkishólmur Airport|Stykkishólmur
BITE|Thingeyri Airport|Þingeyri
BITN|Thorshofn Airport|Þórshöfn
BIVM|Vestmannaeyjar Airport|Vestmannaeyjar
BIVO|Vopnafjörður Airport|Vopnafjörður
BKPR|Pristina International Airport|Pristina
CYMX- Montréal|Mirabel International Airport - Montreal, Quebec|
CYOW- Ottawa Macdonald|Cartier International Airport (Macdonald-Cartier International Airport) - Ottawa, Ontario|
CYUL- Montréal|Pierre Elliott Trudeau International Airport - Montreal, Quebec|
DAAB|Blida Airport|Blida
DAAD|Bou Saada Airport|Bou Saada
DAAE|Soummam Airport|Bejaia
DAAG|Houari Boumedienne Airport|Algiers
DAAJ|Tiska Airport|Djanet
DAAK|Boufarik Airport|Boufarik
DAAP|Illizi Airport|Illizi
DAAS|Ain Arnat Airport|Setif
DAAT|Tamanrasset Airport|Tamanrasset
DAAV|Jijel Ferhat Abbas Airport|Jijel
DAAY|Mecheria Airport|Mecheria
DAAZ|Relizane Airport|Relizane
DABB|Rabah Bitat Airport|Annaba
DABC|Mohamed Boudiaf International Airport|Constantine
DABP|Skikda Airport|Skikda
DABS|Tébessa Airport|Tébessa
DABT|Batna Airport|Batna
DAFH|Hassi R'Mel Airport|Hassi R'Mel
DAFI|Tsletsi Airport|Djelfa
DAOB|Bou Chekif Airport|Tiaret
DAOF|Tindouf Airport|Tindouf
DAOI|Chlef International Airport|Chlef
DAOL|Oran Tafaraoui Airport|Oran
DAON|Zenata Airport|Tlemcen
DAOO|Es Senia Airport|Oran
DAOR|Béchar Ouakda Airport|Béchar
DAOS|Sidi Bel Abbès Airport|Sidi Bel Abbès
DAOV|Ghriss Airport|Ghriss
DATG|In Guezzam Airport|In Guezzam
DATM|Bordj Mokhtar Airport|Bordj Mokhtar
DAUA|Touat Cheikh Sidi Mohamed Belkebir Airport|Adrar
DAUB|Biskra Airport|Biskra
DAUE|El Golea Airport|El Golea
DAUG|Noumerate Airport|Ghardaia
DAUH|Oued Irara Airport|Hassi Messaoud
DAUI|In Salah Airport|In Salah
DAUK|Touggourt Sidi Madhi Airport|Touggourt
DAUL|L'Mekrareg Airport|Laghouat
DAUO|Guemar Airport|El Oued
DAUT|Timimoun Airport|Timimoun
DAUU|Ain el Beida Airport|Ouargla
DAUZ|In Amenas Airport|In Amenas
DBBB|Cadjehoun Airport (Cotonou Airport)|Cotonou
DBBC|Cana Airport|Bohicon
DBBD|Djougou Airport|Djougou
DBBK|Kandi Airport|Kandi
DBBN|Natitingou Airport|Natitingou
DBBO|Porga Airport|Porga
DBBP|Parakou Airport|Parakou
DBBR|Bembereke Airport|Bembereke
DBBS|Savé Airport|Savé
